id,source,sourceEquipment
4057583fb8534cffb1e0eee4d7f86498,otomoto,{}
2cb8cc10acd9dc4774ef6b39b46d7118,otomoto,"{""Komfort i dodatki"":[""Tapicerka materiałowa""],""Systemy wspomagania kierowcy"":[""Wspomaganie kierownicy""],""Bezpieczeństwo"":[""ABS"",""Elektroniczny system rozdziału siły hamowania"",""Poduszka powietrzna kierowcy""]}"
558b682ed37e71f85b955078ca7c0e66,otomoto,"{""Audio i multimedia"":[""Radio""],""Komfort i dodatki"":[""Hak"",""Klimatyzacja manualna"",""Podłokietniki - przód"",""Kierownica ze sterowaniem radia"",""Kierownica wielofunkcyjna"",""Ogrzewanie postojowe"",""Czujnik deszczu"",""Elektryczne szyby przednie"",""Przyciemniane tylne szyby"",""Wycieraczki""],""Bezpieczeństwo"":[""ABS"",""ESP"",""System wspomagania hamowania""]}"
4d104f43b74649ea615720cae3d1647f,otomoto,{}
97eaad613e12703c6f02de09292f9144,otomoto,"{""Audio i multimedia"":[""Radio"",""Gniazdo USB""],""Komfort i dodatki"":[""Klimatyzacja manualna"",""Klimatyzacja dla pasażerów z tyłu"",""Podgrzewana przednia szyba"",""Elektryczne szyby przednie""],""Systemy wspomagania kierowcy"":[""Lusterka boczne ustawiane elektrycznie"",""Podgrzewane lusterka boczne"",""Wspomaganie kierownicy""],""Osiągi i tuning"":[""Felgi stalowe""],""Bezpieczeństwo"":[""ABS"",""ESP"",""Elektroniczny system rozdziału siły hamowania"",""Poduszka powietrzna kierowcy"",""Poduszka powietrzna pasażera""]}"
e19ef8267f01d88b383a85d361d79137,otomoto,{}
222bc11dc111d81f457ab30d4409b30a,otomoto,{}
225b164fe8f2cd48d33ce7942762b781,otomoto,{}
0afe056d8fa2c602a793cc1b3baabd1c,otomoto,"{""Audio i multimedia"":[""Radio""],""Komfort i dodatki"":[""Klimatyzacja manualna"",""Tapicerka materiałowa"",""Klimatyzacja dla pasażerów z tyłu"",""Kierownica ze sterowaniem radia"",""Czujnik deszczu"",""Podgrzewana przednia szyba"",""Elektryczne szyby przednie"",""Przyciemniane tylne szyby"",""Wycieraczki""],""Systemy wspomagania kierowcy"":[""Kontrola trakcji"",""Wspomaganie ruszania pod górę- Hill Holder"",""Wspomaganie kierownicy""],""Bezpieczeństwo"":[""ABS"",""ESP"",""Poduszka powietrzna kierowcy"",""Poduszka powietrzna pasażera""]}"
ad0112f3697109bc73d4b2ebd7208707,otomoto,"{""Audio i multimedia"":[""Radio"",""Gniazdo USB"",""Ekran dotykowy""],""Komfort i dodatki"":[""Hak"",""Klimatyzacja manualna"",""Tapicerka materiałowa"",""Podłokietniki - przód"",""Podłokietniki - tył"",""Przyciemniane tylne szyby"",""Wycieraczki""],""Systemy wspomagania kierowcy"":[""Lusterka boczne ustawiane elektrycznie"",""Kontrola trakcji"",""Wspomaganie kierownicy""],""Bezpieczeństwo"":[""ABS"",""ESP"",""Poduszka powietrzna kierowcy""]}"
03856ed42115301a4432a88bb60dc8cf,otomoto,"{""Audio i multimedia"":[""Radio""],""Komfort i dodatki"":[""Tapicerka materiałowa"",""Podłokietniki - przód"",""Kierownica ze sterowaniem radia"",""Elektryczne szyby przednie""],""Systemy wspomagania kierowcy"":[""Wspomaganie ruszania pod górę- Hill Holder"",""Światła do jazdy dziennej"",""Wspomaganie kierownicy""],""Osiągi i tuning"":[""Filtr cząstek stałych""],""Bezpieczeństwo"":[""ABS"",""ESP"",""Elektroniczny system rozdziału siły hamowania"",""Poduszka powietrzna kierowcy"",""Poduszka powietrzna pasażera""]}"
5632e526f8ae867930cbb8f2bcf7209f,otomoto,"{""Audio i multimedia"":[""Radio"",""System nagłośnienia""],""Komfort i dodatki"":[""Hak"",""Klimatyzacja manualna"",""Tapicerka materiałowa"",""Klimatyzacja dla pasażerów z tyłu"",""Podłokietniki - przód"",""Podgrzewana przednia szyba"",""Przyciemniane tylne szyby"",""Wycieraczki""],""Systemy wspomagania kierowcy"":[""Wspomaganie kierownicy""],""Bezpieczeństwo"":[""Poduszka powietrzna kierowcy"",""Poduszka powietrzna pasażera""]}"
435866f8b0f5fb0cb89906372471c9ce,otomoto,{}
4dbe6d5c54b70d8fd478fe3d06842132,otomoto,"{""Audio i multimedia"":[""Radio""],""Komfort i dodatki"":[""Klimatyzacja manualna"",""Klimatyzacja dla pasażerów z tyłu"",""Podłokietniki - przód"",""Kierownica ze sterowaniem radia"",""Kierownica wielofunkcyjna"",""Elektryczne szyby tylne""],""Systemy wspomagania kierowcy"":[""Tempomat"",""Lusterka boczne ustawiane elektrycznie"",""Podgrzewane lusterka boczne""],""Osiągi i tuning"":[""Zawieszenie komfortowe""],""Bezpieczeństwo"":[""ABS"",""ESP"",""Poduszka powietrzna pasażera""]}"
